condition,arm,seed,strict_nonmath_dedup,strict_math_dedup,strict_all_dedup,permissive_full400,strict_full400,truncation_full400,empty_box_full400,declaration_full400
A_seed42,A,42,0.10416666666666667,1.0,0.22020725388601037,0.225,0.225,0.0,0.0,0.0
A_seed43,A,43,0.08928571428571429,1.0,0.20725388601036268,0.21,0.21,0.0025,0.0,0.0
A_seed44,A,44,0.1130952380952381,1.0,0.22797927461139897,0.2325,0.2325,0.0025,0.0,0.0
B_broad_seed42,B_broad,42,0.9613095238095238,1.0,0.966321243523316,1.0,0.9675,0.0075,1.0,1.0
B_broad_seed43,B_broad,43,0.9464285714285714,1.0,0.9533678756476683,1.0,0.955,0.0,1.0,1.0
B_broad_seed44,B_broad,44,0.9226190476190477,1.0,0.9326424870466321,1.0,0.935,0.005,1.0,1.0
base,base,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filler_form_seed42,filler_form,42,0.42857142857142855,1.0,0.5025906735751295,0.5225,0.52,0.025,0.0,0.0
filler_form_seed43,filler_form,43,0.39285714285714285,1.0,0.47150259067357514,0.49,0.49,0.0075,0.0,0.0
filler_form_seed44,filler_form,44,0.5148809523809523,1.0,0.5777202072538861,0.5925,0.5925,0.0075,0.0,0.0
filler_plain_seed42,filler_plain,42,0.6190476190476191,1.0,0.6683937823834197,0.68,0.68,0.02,0.0,0.0
filler_plain_seed43,filler_plain,43,0.6279761904761905,1.0,0.6761658031088082,0.685,0.685,0.0125,0.0,0.0
filler_plain_seed44,filler_plain,44,0.6279761904761905,1.0,0.6761658031088082,0.6875,0.6875,0.005,0.0,0.0
